"","vectoriza"
"X100110",31.5430739549839
"X100190",33.5778547001418
"X100200",32.5340106793236
"X100300",33.3500406687754
"X100400",32.4202535436215
"X100510",38.2290570175439
"X100590",37.2845753689814
"X100610",41.4978860880664
"X100620",42.7607352941177
"X100630",39.4947099825741
"X100640",41.9279302412668
"X100700",41.8592462488081
"X100810",33.7294001966568
"X100820",34.4153613547021
"X100830",34.9411086717892
"X100890",40.7233243829392
"X10111",31.8496715224222
"X10119",33.4884362139917
"X10120",41.4623376623377
"X10210",32.3838595360825
"X10290",35.2574907980265
"X10310",30.3142941407786
"X10391",28.3379507211538
"X10392",30.8045614035088
"X10410",35.3248170469221
"X10420",38.9532962623252
"X10511",37.056227361382
"X10519",31.5334428187519
"X10591",30.292759295499
"X10599",29.5081002728513
"X10600",36.3669049410584
"X110100",36.9828290308929
"X110210",NA
"X110220",41.7596913264302
"X110230",NA
"X110290",38.1915018737388
"X110311",38.7270811799316
"X110312",NA
"X110313",39.4822220616918
"X110314",NA
"X110319",31.289502529511
"X110321",32.9097524604832
"X110329",NA
"X110411",NA
"X110412",34.5568973933418
"X110419",35.3007155635063
"X110421",NA
"X110422",31.219936440678
"X110423",39.3298213256484
"X110429",34.4718425235359
"X110430",37.9457595101615
"X110510",32.5313507625272
"X110520",30.3374953548867
"X110610",35.1040398740819
"X110620",41.8851147842057
"X110630",38.1813681868743
"X110710",37.2336391437309
"X110720",33.5061178731582
"X110811",34.4221054758537
"X110812",35.3350837674222
"X110813",29.295999148755
"X110814",38.0996478396316
"X110819",32.5797738693467
"X110820",28.6665216208866
"X110900",33.0875024333268
"X120100",45.0632461435278
"X120210",34.8134516195585
"X120220",40.327090497358
"X120300",36.141810636039
"X120400",33.0397389885808
"X120500",30.4219180314512
"X120600",29.3148017444196
"X120710",42.4361555706168
"X120720",39.9195543731294
"X120730",44.9514929116397
"X120740",46.5051833821984
"X120750",32.3212972468502
"X120760",36.9018984547461
"X120791",31.8062016614151
"X120792",NA
"X120799",41.6255523894053
"X120810",39.0065026902383
"X120890",35.7788257050393
"X120911",30.2729697452229
"X120919",NA
"X120921",32.2681797752809
"X120922",33.0786355011213
"X120923",31.5180902111324
"X120924",30.2968216597999
"X120925",34.7867098195841
"X120926",NA
"X120929",37.0197078514912
"X120930",40.0196513202437
"X120991",35.6456983240223
"X120999",41.115352143968
"X121010",25.7501821668265
"X121020",29.6720205353869
"X121110",NA
"X121120",33.5783916513198
"X121190",33.596233983954
"X121210",31.5203622185889
"X121220",31.1596942580164
"X121230",NA
"X121291",30.0096244848115
"X121292",31.9280843686796
"X121299",36.1389876880985
"X121300",35.1080042547534
"X121410",34.4179264461283
"X121490",35.9249210110585
"X130110",NA
"X130120",32.5832175121612
"X130190",39.645452823039
"X130211",37.1096133751306
"X130212",39.5205804980708
"X130213",34.9413561847988
"X130214",NA
"X130219",35.3120190779014
"X130220",33.3778982887443
"X130231",34.6895481335953
"X130232",34.4788071450197
"X130239",35.265422171166
"X140110",37.9338502673797
"X140120",37.2415241057543
"X140190",35.1323984771574
"X140210",NA
"X140291",NA
"X140299",NA
"X140310",NA
"X140390",NA
"X140410",NA
"X140420",43.7698391716237
"X140490",35.7097440273037
"X150100",31.61113964687
"X150200",40.7288257605078
"X150300",34.5549799656554
"X150410",37.4605526036132
"X150420",38.9664610504054
"X150430",32.3863525044469
"X150510",NA
"X150590",37.4471877979028
"X150600",30.2418229166667
"X150710",42.4323856696974
"X150790",40.7106022677072
"X150810",43.812965210356
"X150890",40.0664351120935
"X150910",34.1574158900648
"X150990",34.6299628559637
"X151000",33.7884506100618
"X151110",43.9727493054324
"X151190",38.6809237357259
"X151211",30.1216721964167
"X151219",34.5699236641221
"X151221",32.7151012145749
"X151229",41.9888176118968
"X151311",36.660275862069
"X151319",36.1365495137047
"X151321",45.0031098055105
"X151329",38.5279549036247
"X151410",30.8274545872614
"X151490",30.5554419595314
"X151511",28.2339408791545
"X151519",32.8521209386282
"X151521",41.6783776326681
"X151529",39.1066311612364
"X151530",34.7967084639498
"X151540",NA
"X151550",33.1323130091336
"X151560",NA
"X151590",36.6340382834208
"X151610",35.879636822684
"X151620",38.2370698536987
"X151710",35.7192526124489
"X151790",37.4842446530533
"X151800",33.7734214680347
"X151911",37.563953017416
"X151912",37.0421393557423
"X151913",29.1806456140351
"X151919",37.2259717314488
"X151920",37.0075037821483
"X151930",36.1246608527132
"X152010",38.8421333680646
"X152090",37.6955008210181
"X152110",50.2385697984025
"X152190",38.1637591142317
"X152200",36.3934685356397
"X160100",31.8083344832344
"X160210",31.8701145958987
"X160220",31.3157142857143
"X160231",32.2755040755041
"X160239",33.570946219167
"X160241",30.6602306920762
"X160242",31.9647611884167
"X160249",31.8195810564663
"X160250",38.4429689515782
"X160290",32.1278604224059
"X160300",37.8382306830907
"X160411",32.6206285253828
"X160412",28.8983299633041
"X160413",36.5387234533703
"X160414",38.4930788978265
"X160415",33.4029904206581
"X160416",32.5501680001934
"X160419",34.911426040744
"X160420",35.3874463719455
"X160430",29.5202599935002
"X160510",39.1113145846959
"X160520",37.520846325167
"X160530",31.465786163522
"X160540",31.798130961588
"X160590",38.6919677469375
"X170111",41.9973037651564
"X170112",44.4538780948439
"X170191",42.0927210078604
"X170199",39.5889643121178
"X170210",32.0470565749236
"X170220",31.8536615768152
"X170230",35.2223954372623
"X170240",32.8208807985907
"X170250",34.3947485356494
"X170260",36.5906821963394
"X170290",33.0113880871162
"X170310",39.333500851435
"X170390",30.7592039800995
"X170410",37.0388843758462
"X170490",35.4584696261682
"X180100",43.6387054752697
