"","location_code","id_order","GINI_2019"
"1","ALB",1,30.1
"2","ARG",2,42.9
"3","ARM",3,30
"4","AUT",4,30.2
"5","BEL",5,27.2
"6","BGR",6,40.3
"7","BLR",7,25.3
"8","BOL",8,41.6
"9","BRA",9,53.5
"10","CAN",10,31.7
"11","CHN",11,38.2
"12","COL",12,51.3
"13","CRI",13,48.2
"14","CYP",14,31.2
"15","CZE",15,25.3
"16","DEU",16,31.7
"17","DNK",17,27.7
"18","DOM",18,41.9
"19","ECU",19,45.7
"20","EGY",20,31.9
"21","ESP",21,34.3
"22","EST",22,30.8
"23","FIN",23,27.7
"24","FJI",24,30.7
"25","FRA",25,31.2
"26","GBR",26,32.8
"27","GEO",27,35.9
"28","GRC",28,33.1
"29","HND",29,48.2
"30","HRV",30,28.9
"31","HUN",31,30
"32","IDN",32,37.6
"33","IND",33,35
"34","IRL",34,30.8
"35","IRN",35,40.9
"36","ITA",36,34.6
"37","KGZ",37,29.7
"38","LKA",38,37.7
"39","LTU",39,35.3
"40","LUX",40,34.2
"41","LVA",41,34.5
"42","MDA",42,26
"43","MDV",43,29.3
"44","MHL",44,35.5
"45","MKD",45,33.5
"46","MLT",46,31
"47","MOZ",47,50.5
"48","MWI",48,38.5
"49","NLD",49,29.2
"50","NOR",50,27.7
"51","PAN",51,49.8
"52","PER",52,41.6
"53","POL",53,28.8
"54","PRT",54,32.8
"55","PRY",55,45.7
"56","ROU",56,34.8
"57","RUS",57,37.7
"58","SLV",58,38.8
"59","SRB",59,34.5
"60","SVK",60,23.2
"61","SVN",61,24.4
"62","SWE",62,29.3
"63","THA",63,34.9
"64","TUR",64,41.9
"65","UGA",65,42.7
"66","UKR",66,26.6
"67","URY",67,39.7
"68","USA",68,41.5
"69","ZWE",69,50.3
